#LMID	Name	Category	Subcategory	Formula	Mass	NumofC	NumofH	NumofO	NumofN	NumofP	NumofS	H:C	H:O	C:O	C:N	C:S	C:P	Afterdecmass	AMD	RMD
LMFA01030754	"4E-Undecene-6,8,10-triynoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C11H8O2N0S0P0	172.05243	11	8	2	0	0	0	0.727272727	4	5.5	0	0	0	0.0524	0.0524	305
LMFA07070018	3-{[(5Z)-13-carboxytridec-5-enoyl]oxy}-4-(trimethylazaniumyl)butanoate	Fatty_Acyls	Fatty_esters	C21H37O6N1S0P0	399.262088	21	37	6	1	0	0	1.761904762	6.166666667	3.5	21	0	0	0.2621	0.2621	656
LMFA06000188	3-oxo-13-Tetradecenal	Fatty_Acyls	Fatty_aldehydes	C14H24O2N0S0P0	224.17763	14	24	2	0	0	0	1.714285714	12	7	0	0	0	0.1776	0.1776	792
LMFA07050207	"3pr-phosphoadenosine_5pr-{3-[(3R)-4-({3-[(2-{[3-(carboxymethyl)-3-hydroxy-7-methyloct-6-enoyl]sulfanyl}ethyl)amino]-3-oxopropyl}amino)-3-hydroxy-2,2-dimethyl-4-oxobutyl]_dihydrogen_diphosphate}"	Fatty_Acyls	Fatty_esters	C32H52O20N7S1P3	979.220067	32	52	20	7	3	1	1.625	2.6	1.6	4.571428571	32	10.66666667	0.2201	0.2201	225
LMFA11000016	"3Z,6Z,9Z,12Z,15Z,19Z,22Z,25Z,28Z-Hentriacontanonaene"	Fatty_Acyls	Hydrocarbons	C31H46O0N0S0P0	418.359951	31	46	0	0	0	0	1.483870968	0	0	0	0	0	0.36	0.36	861
LMFA12000318	"(3S,4R)-(6S,7R)-Diepoxy-9Z-heneicosene"	Fatty_Acyls	Oxygenated_hydrocarbons	C21H38O2N0S0P0	322.287181	21	38	2	0	0	0	1.80952381	19	10.5	0	0	0	0.2872	0.2872	891
LMFA01020296	"2S,4S,6S,8S,10S-pentamethyl-hexacosanoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C31H62O2N0S0P0	466.474981	31	62	2	0	0	0	2	31	15.5	0	0	0	0.475	0.475	1018
LMFA01020052	"6,16-dimethyl-octadecanoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C20H40O2N0S0P0	312.302831	20	40	2	0	0	0	2	20	10	0	0	0	0.3028	0.3028	970
LMFA08020119	N-octadecanoyl-proline	Fatty_Acyls	Fatty_amides	C23H43O3N1S0P0	381.324294	23	43	3	1	0	0	1.869565217	14.33333333	7.666666667	23	0	0	0.3243	0.3243	850
LMFA01090136	Diiodoethanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C2H2O2N0S0P0	57.997277	2	2	2	0	0	0	1	1	1	0	0	0	0.8063	0.1937	621
