#LMID	Name	Category	Subcategory	Formula	Mass	NumofC	NumofH	NumofO	NumofN	NumofP	NumofS	H:C	H:O	C:O	C:N	C:S	C:P	Afterdecmass	AMD	RMD
LMFA01020141	2-hexyl-2-decenoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C16H30O2N0S0P0	254.224581	16	30	2	0	0	0	1.875	15	8	0	0	0	0.2246	0.2246	883
LMFA01040045	"methyl_9,16-dihydroperoxy-10E,12,14E-octadecatrienoate"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C19H32O6N0S0P0	356.219891	19	32	6	0	0	0	1.684210526	5.333333333	3.166666667	0	0	0	0.2199	0.2199	617
LMFA07010126	"9Z,12Z-octadecadienyl_hexadecanoate"	Fatty_Acyls	Fatty_esters	C34H64O2N0S0P0	504.490631	34	64	2	0	0	0	1.882352941	32	17	0	0	0	0.4906	0.4906	972
LMFA01030907	12Z-heptadecenoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C17H32O2N0S0P0	268.240231	17	32	2	0	0	0	1.882352941	16	8.5	0	0	0	0.2402	0.2402	895
LMFA08020041	"N-(2-hydroxy-2S-methyl-ethyl)-5Z,8Z,11Z,14Z-eicosatetraenoyl_amine"	Fatty_Acyls	Fatty_amides	C23H39O2N1S0P0	361.298079	23	39	2	1	0	0	1.695652174	19.5	11.5	23	0	0	0.2981	0.2981	825
LMFA02000176	"9,14-dihydroxy-octadecanoic_acid"	Fatty_Acyls	Octadecanoids	C18H36O4N0S0P0	316.261361	18	36	4	0	0	0	2	9	4.5	0	0	0	0.2614	0.2614	827
LMFA11000178	"3Z,6Z,9Z,12Z-eicosatetraene"	Fatty_Acyls	Hydrocarbons	C20H34O0N0S0P0	274.266051	20	34	0	0	0	0	1.7	0	0	0	0	0	0.2661	0.2661	970
LMFA07010523	ethyl_4Z-octenoate	Fatty_Acyls	Fatty_esters	C10H18O2N0S0P0	170.13068	10	18	2	0	0	0	1.8	9	5	0	0	0	0.1307	0.1307	768
LMFA11000445	"5,9_Hentriacontadiene"	Fatty_Acyls	Hydrocarbons	C31H60O0N0S0P0	432.469501	31	60	0	0	0	0	1.935483871	0	0	0	0	0	0.4695	0.4695	1086
LMFA07010670	Isopropyl_9Z-hexadecenoate	Fatty_Acyls	Fatty_esters	C19H36O2N0S0P0	296.271531	19	36	2	0	0	0	1.894736842	18	9.5	0	0	0	0.2715	0.2715	916
LMFA02020204	"[(1R,2R)-3-oxo-2-pentylcyclopentyl]acetic_acid"	Fatty_Acyls	Octadecanoids	C12H20O3N0S0P0	212.141245	12	20	3	0	0	0	1.666666667	6.666666667	4	0	0	0	0.1412	0.1412	666
LMFA05000206	"7Z,11E-Hexadecadien-1-ol"	Fatty_Acyls	Fatty_alcohols	C16H30O1N0S0P0	238.229666	16	30	1	0	0	0	1.875	30	16	0	0	0	0.2297	0.2297	964
LMFA02000118	8-hydroperoxy-9Z-octadecenoic_acid	Fatty_Acyls	Octadecanoids	C18H34O4N0S0P0	314.245711	18	34	4	0	0	0	1.888888889	8.5	4.5	0	0	0	0.2457	0.2457	782
LMFA01030377	"8Z,11Z-eicosadienoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C20H36O2N0S0P0	308.271531	20	36	2	0	0	0	1.8	18	10	0	0	0	0.2715	0.2715	881
LMFA01080012	7-methoxy-4E-dodecenoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C13H24O3N0S0P0	228.172545	13	24	3	0	0	0	1.846153846	8	4.333333333	0	0	0	0.1725	0.1725	756
LMFA01030722	"9-hydroxy-7Z-Nonene-3,5-diynoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C9H8O3N0S0P0	164.047345	9	8	3	0	0	0	0.888888889	2.666666667	3	0	0	0	0.0473	0.0473	288
LMFA01060073	"15-oxo-11Z,13E-eicosadienoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C20H34O3N0S0P0	322.250796	20	34	3	0	0	0	1.7	11.33333333	6.666666667	0	0	0	0.2508	0.2508	778
LMFA01060039	4-oxo-dodecanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C12H22O3N0S0P0	214.156895	12	22	3	0	0	0	1.833333333	7.333333333	4	0	0	0	0.1569	0.1569	733
LMFA11000233	12-Methyltriacontane	Fatty_Acyls	Hydrocarbons	C31H64O0N0S0P0	436.500801	31	64	0	0	0	0	2.064516129	0	0	0	0	0	0.5008	0.4992	1144
LMFA05000593	"(4Z,7R,8E,10E,12Z,14S)-7,14-dihydroxyoctadeca-4,8,10,12-tetraenedioic_acid"	Fatty_Acyls	Fatty_alcohols	C18H26O6N0S0P0	338.172939	18	26	6	0	0	0	1.444444444	4.333333333	3	0	0	0	0.1729	0.1729	511
LMFA01100051	"2S,3-diamino-propionic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C3H8O2N2S0P0	104.058578	3	8	2	2	0	0	2.666666667	4	1.5	1.5	0	0	0.0586	0.0586	563
LMFA01020374	7-methyl-12-heptadecenoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C18H34O2N0S0P0	282.255881	18	34	2	0	0	0	1.888888889	17	9	0	0	0	0.2559	0.2559	907
LMFA12000003	pentan-2-one	Fatty_Acyls	Oxygenated_hydrocarbons	C5H10O1N0S0P0	86.073165	5	10	1	0	0	0	2	10	5	0	0	0	0.0732	0.0732	850
LMFA03050008	"11,12-dihydroxy-5Z,8Z,14Z-eicosatrienoic_acid"	Fatty_Acyls	Eicosanoids	C20H34O4N0S0P0	338.245711	20	34	4	0	0	0	1.7	8.5	5	0	0	0	0.2457	0.2457	726
LMFA07010624	"(Z)-3,7-Dimethyl-2,6-octadienyl_decanoate"	Fatty_Acyls	Fatty_esters	C20H36O2N0S0P0	308.271531	20	36	2	0	0	0	1.8	18	10	0	0	0	0.2715	0.2715	881
LMFA07050382	NA	Fatty_Acyls	Fatty_esters	C39H62O18N7S1P3	1041.308488	39	62	18	7	3	1	1.58974359	3.444444444	2.166666667	5.571428571	39	13	0.3085	0.3085	296
LMFA01030982	2-propylpent-4-enoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C8H14O2N0S0P0	142.09938	8	14	2	0	0	0	1.75	7	4	0	0	0	0.0994	0.0994	700
LMFA07050268	"3pr-phosphoadenosine_5pr-{3-[(3R)-4-({3-[(2-{[3-(3,4-dihydroxy-5-methoxyphenyl)prop-2-enoyl]sulfanyl}ethyl)amino]-3-oxopropyl}amino)-3-hydroxy-2,2-dimethyl-4-oxobutyl]_dihydrogen_diphosphate}"	Fatty_Acyls	Fatty_esters	C31H44O20N7S1P3	959.157467	31	44	20	7	3	1	1.419354839	2.2	1.55	4.428571429	31	10.33333333	0.1575	0.1575	164
LMFA01060129	18-oxo-nonadecanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C19H36O3N0S0P0	312.266446	19	36	3	0	0	0	1.894736842	12	6.333333333	0	0	0	0.2664	0.2664	853
LMFA01030914	"octadeca-5S,6-dienoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C18H32O2N0S0P0	280.240231	18	32	2	0	0	0	1.777777778	16	9	0	0	0	0.2402	0.2402	857
LMFA01020334	"2S,4S,6S-trimethyl-3S-hydroxy-tetracosanoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C27H54O3N0S0P0	426.407296	27	54	3	0	0	0	2	18	9	0	0	0	0.4073	0.4073	955
LMFA05000223	23-Hexacosen-1-ol	Fatty_Acyls	Fatty_alcohols	C26H52O1N0S0P0	380.401816	26	52	1	0	0	0	2	52	26	0	0	0	0.4018	0.4018	1056
LMFA06000196	"10E,12E,14E-Hexadecatrienal"	Fatty_Acyls	Fatty_aldehydes	C16H26O1N0S0P0	234.198365	16	26	1	0	0	0	1.625	26	16	0	0	0	0.1984	0.1984	847
LMFA05000646	"(3S,5R)-3-acetonyl-5-[(11R)-11-hydroxy-11-[(2R,5R)-5-[(2R,5R)-5-[(1S)-1-hydroxyundecyl]tetrahydrofuran-2-yl]tetrahydrofuran-2-yl]undecyl]tetrahydrofuran-2-one"	Fatty_Acyls	Fatty_alcohols	C37H66O7N0S0P0	622.480854	37	66	7	0	0	0	1.783783784	9.428571429	5.285714286	0	0	0	0.4809	0.4809	773
LMFA01020142	6-isopentyl-9-methyl-5-decenoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C16H30O2N0S0P0	254.224581	16	30	2	0	0	0	1.875	15	8	0	0	0	0.2246	0.2246	883
LMFA07050098	"3pr-phosphoadenosine_5pr-{3-[(3R)-3-hydroxy-2,2-dimethyl-4-({3-[(2-{[(15Z)-tetracos-15-enoyl]sulfanyl}ethyl)amino]-3-oxopropyl}amino)-4-oxobutyl]_dihydrogen_diphosphate}"	Fatty_Acyls	Fatty_esters	C45H80O17N7S1P3	1115.454424	45	80	17	7	3	1	1.777777778	4.705882353	2.647058824	6.428571429	45	15	0.4544	0.4544	407
LMFA01030746	"6,9,12,15,18,21-Tetracosahexaynoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C24H24O2N0S0P0	344.17763	24	24	2	0	0	0	1	12	12	0	0	0	0.1776	0.1776	516
LMFA03010089	"6-oxo-9S,11R,15S-trihydroxy-2,3-dinor-13E-prostaenoic_acid"	Fatty_Acyls	Eicosanoids	C18H30O6N0S0P0	342.204241	18	30	6	0	0	0	1.666666667	5	3	0	0	0	0.2042	0.2042	597
LMFA06000207	14R-Methyl-8Z-hexadecenal	Fatty_Acyls	Fatty_aldehydes	C17H32O1N0S0P0	252.245316	17	32	1	0	0	0	1.882352941	32	17	0	0	0	0.2453	0.2453	972
LMFA07040060	24-Tetracosanolide	Fatty_Acyls	Fatty_esters	C24H46O2N0S0P0	366.349781	24	46	2	0	0	0	1.916666667	23	12	0	0	0	0.3498	0.3498	955
LMFA01030384	"7Z,10Z,13Z-eicosatrienoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C20H34O2N0S0P0	306.255881	20	34	2	0	0	0	1.7	17	10	0	0	0	0.2559	0.2559	836
LMFA01170079	2-methyl-2E-pentenedioic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C6H8O4N0S0P0	144.04226	6	8	4	0	0	0	1.333333333	2	1.5	0	0	0	0.0423	0.0423	294
LMFA07010254	"3,7,11-Trimethyl-2,6,10-dodecatrienyl_acetate"	Fatty_Acyls	Fatty_esters	C17H28O2N0S0P0	264.20893	17	28	2	0	0	0	1.647058824	14	8.5	0	0	0	0.2089	0.2089	791
LMFA07050276	"3pr-phosphoadenosine_5pr-{3-[(3R)-3-hydroxy-2,2-dimethyl-4-{[3-({2-[(7-methyl-3-oxooct-6-enoyl)sulfanyl]ethyl}amino)-3-oxopropyl]amino}-4-oxobutyl]_dihydrogen_diphosphate}"	Fatty_Acyls	Fatty_esters	C30H48O18N7S1P3	919.198938	30	48	18	7	3	1	1.6	2.666666667	1.666666667	4.285714286	30	10	0.1989	0.1989	216
LMFA01050032	5-hydroxy-decanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C10H20O3N0S0P0	188.141245	10	20	3	0	0	0	2	6.666666667	3.333333333	0	0	0	0.1412	0.1412	750
LMFA13010063	"6-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}hexane-1,2,3,4,5-pentol"	Fatty_Acyls	Fatty_acyl_glycosides	C12H24O11N0S0P0	344.131862	12	24	11	0	0	0	2	2.181818182	1.090909091	0	0	0	0.1319	0.1319	383
LMFA01050445	2-amino-4-{[(1E)-2-ethenyl-3-hydroxyprop-1-en-1-yl]carbamoyl}-4-hydroxybutanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C10H16O5N2S0P0	244.105922	10	16	5	2	0	0	1.6	3.2	2	5	0	0	0.1059	0.1059	434
LMFA07010947	methyl_3-(methylsulfanyl)butanoate	Fatty_Acyls	Fatty_esters	C6H12O2N0S1P0	148.0558	6	12	2	0	0	1	2	6	3	0	6	0	0.0558	0.0558	377
LMFA05000552	"(2S)-octane-1,2-diol"	Fatty_Acyls	Fatty_alcohols	C8H18O2N0S0P0	146.13068	8	18	2	0	0	0	2.25	9	4	0	0	0	0.1307	0.1307	894
LMFA01170083	(2S)-2-isopropyl-2-hydroxy-butanedioic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C7H12O5N0S0P0	176.068475	7	12	5	0	0	0	1.714285714	2.4	1.4	0	0	0	0.0685	0.0685	389
LMFA11000325	1-Octadecene	Fatty_Acyls	Hydrocarbons	C18H36O0N0S0P0	252.281701	18	36	0	0	0	0	2	0	0	0	0	0	0.2817	0.2817	1117
LMFA03110071	"5R-hydroxy-11-oxo-6E,14Z,12-prostatrienoic_acid-cyclo[8S,12R]"	Fatty_Acyls	Eicosanoids	C20H30O4N0S0P0	334.214411	20	30	4	0	0	0	1.5	7.5	5	0	0	0	0.2144	0.2144	642
LMFA01090146	2-Bromo-2-chloroethanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C2H2O2N0S0P0	136.923818	2	2	2	0	0	0	1	1	1	0	0	0	0.8927	0.1073	624
LMFA07010987	(2Z)-pent-2-en-1-yl_hexanoate	Fatty_Acyls	Fatty_esters	C11H20O2N0S0P0	184.14633	11	20	2	0	0	0	1.818181818	10	5.5	0	0	0	0.1463	0.1463	794
LMFA11000374	"3,7,11-Trimethylnonacosane"	Fatty_Acyls	Hydrocarbons	C32H66O0N0S0P0	450.516451	32	66	0	0	0	0	2.0625	0	0	0	0	0	0.5165	0.4835	1073
LMFA05000696	"(2E,4E,6E,8E,10E)-4,9-dimethyldodeca-2,4,6,8,10-pentaene-1,12-diol"	Fatty_Acyls	Fatty_alcohols	C14H20O2N0S0P0	220.14633	14	20	2	0	0	0	1.428571429	10	7	0	0	0	0.1463	0.1463	665
LMFA06000089	2-hexadecenal	Fatty_Acyls	Fatty_aldehydes	C16H30O1N0S0P0	238.229666	16	30	1	0	0	0	1.875	30	16	0	0	0	0.2297	0.2297	964
LMFA08020017	"N-(1S-methyl-propyl)-5Z,8Z,11Z,14Z-eicosatetraenoyl_amine"	Fatty_Acyls	Fatty_amides	C24H41O1N1S0P0	359.318814	24	41	1	1	0	0	1.708333333	41	24	24	0	0	0.3188	0.3188	887
LMFA07010088	dodecanyl_9Z-tetradecenoate	Fatty_Acyls	Fatty_esters	C26H50O2N0S0P0	394.381081	26	50	2	0	0	0	1.923076923	25	13	0	0	0	0.3811	0.3811	966
LMFA03020062	"(5S,6R,7E,9E,11Z,14Z)-6-[(2-amino-2-carboxyethyl)sulfanyl]-5,20-dihydroxyicosa-7,9,11,14-tetraenoic_acid"	Fatty_Acyls	Eicosanoids	C23H37O6N1S1P0	455.234159	23	37	6	1	0	1	1.608695652	6.166666667	3.833333333	23	23	0	0.2342	0.2342	514
LMFA01030577	2-octynoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C8H12O2N0S0P0	140.08373	8	12	2	0	0	0	1.5	6	4	0	0	0	0.0837	0.0837	597
LMFA01020169	6-ethyl-tetradecanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C16H32O2N0S0P0	256.240231	16	32	2	0	0	0	2	16	8	0	0	0	0.2402	0.2402	937
LMFA01170127	"1,10Z-heptadecadiene-2,3R-dicarboxylic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C21H36O4N0S0P0	352.261361	21	36	4	0	0	0	1.714285714	9	5.25	0	0	0	0.2614	0.2614	742
LMFA06000113	3Z-nonenal	Fatty_Acyls	Fatty_aldehydes	C9H16O1N0S0P0	140.120115	9	16	1	0	0	0	1.777777778	16	9	0	0	0	0.1201	0.1201	857
LMFA03070051	"12,18-dihydroxy-5Z,8Z,10E,14Z,16E-eicosapentaenoic_acid"	Fatty_Acyls	Eicosanoids	C20H30O4N0S0P0	334.214411	20	30	4	0	0	0	1.5	7.5	5	0	0	0	0.2144	0.2144	642
LMFA03070050	"11,18-dihydroxy-5Z,8Z,12E,14Z,16E-eicosapentaenoic_acid"	Fatty_Acyls	Eicosanoids	C20H30O4N0S0P0	334.214411	20	30	4	0	0	0	1.5	7.5	5	0	0	0	0.2144	0.2144	642
LMFA05000520	6Z-Tridecen-2R-ol	Fatty_Acyls	Fatty_alcohols	C13H26O1N0S0P0	198.198365	13	26	1	0	0	0	2	26	13	0	0	0	0.1984	0.1984	1001
LMFA06000031	4-octenal	Fatty_Acyls	Fatty_aldehydes	C8H14O1N0S0P0	126.104465	8	14	1	0	0	0	1.75	14	8	0	0	0	0.1045	0.1045	829
LMFA03110079	"6S,12S-dihydroxy-8-oxo-10E,14Z-prostadienoic_acid-cyclo[5R,9S]"	Fatty_Acyls	Eicosanoids	C20H32O5N0S0P0	352.224976	20	32	5	0	0	0	1.6	6.4	4	0	0	0	0.225	0.225	639
LMFA03030010	"9S,11,15S-trihydroxy-thromboxa-5Z,13E-dien-1-oic_acid-d4"	Fatty_Acyls	Eicosanoids	C20H34O6N0S0P0	370.23504	20	34	6	0	0	0	1.7	5.666666667	3.333333333	0	0	0	0.2602	0.2602	695
LMFA01020322	"2S,4S,6S,8R,10R,12R-hexamethyl-13-hydroxy-octacosanoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C34H68O3N0S0P0	524.516846	34	68	3	0	0	0	2	22.66666667	11.33333333	0	0	0	0.5168	0.4832	921
LMFA12000246	"2,3-Decanedione"	Fatty_Acyls	Oxygenated_hydrocarbons	C10H18O2N0S0P0	170.13068	10	18	2	0	0	0	1.8	9	5	0	0	0	0.1307	0.1307	768
LMFA08040025	"N-(17,17-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl)-ethanolamine"	Fatty_Acyls	Fatty_amides	C26H45O2N1S0P0	403.345029	26	45	2	1	0	0	1.730769231	22.5	13	26	0	0	0.345	0.345	855
LMFA02000164	"12,13-dihydroxy-9-octadecenoic_acid"	Fatty_Acyls	Octadecanoids	C18H34O4N0S0P0	314.245711	18	34	4	0	0	0	1.888888889	8.5	4.5	0	0	0	0.2457	0.2457	782
LMFA05000218	"3,7,11,15,19-Pentamethyleicosa-2E,6E,10E,14E,18-pentaen-1-ol"	Fatty_Acyls	Fatty_alcohols	C25H42O1N0S0P0	358.323566	25	42	1	0	0	0	1.68	42	25	0	0	0	0.3236	0.3236	903
LMFA07050186	"3pr-phosphoadenosine_5pr-{3-[(3R)-3-hydroxy-4-{[3-({2-[(2-hydroxyoctadecanoyl)sulfanyl]ethyl}amino)-3-oxopropyl]amino}-2,2-dimethyl-4-oxobutyl]_dihydrogen_diphosphate}"	Fatty_Acyls	Fatty_esters	C39H70O18N7S1P3	1049.371089	39	70	18	7	3	1	1.794871795	3.888888889	2.166666667	5.571428571	39	13	0.3711	0.3711	354
LMFA02000278	"9,10-epoxy-13-hydroxy-11-octadecenoic_acid"	Fatty_Acyls	Octadecanoids	C18H32O4N0S0P0	312.230061	18	32	4	0	0	0	1.777777778	8	4.5	0	0	0	0.2301	0.2301	737
LMFA03010142	"9S,15S-dihydroxy-11-oxo-5Z,13E,17Z-prostatrienoic_acid"	Fatty_Acyls	Eicosanoids	C20H30O5N0S0P0	350.209326	20	30	5	0	0	0	1.5	6	4	0	0	0	0.2093	0.2093	598
LMFA11000709	3-Ethylundecane	Fatty_Acyls	Hydrocarbons	C13H28O0N0S0P0	184.2191	13	28	0	0	0	0	2.153846154	0	0	0	0	0	0.2191	0.2191	1189
LMFA07010289	6E-Tetradecenyl_acetate	Fatty_Acyls	Fatty_esters	C16H30O2N0S0P0	254.224581	16	30	2	0	0	0	1.875	15	8	0	0	0	0.2246	0.2246	883
LMFA13010020	"1-(O-alpha-D-glucopyranosyl)-3-keto-(1,25R)-hexacosanediol"	Fatty_Acyls	Fatty_acyl_glycosides	C32H62O8N0S0P0	574.444471	32	62	8	0	0	0	1.9375	7.75	4	0	0	0	0.4445	0.4445	774
LMFA07010936	methyl_(3Z)-hex-3-enoate	Fatty_Acyls	Fatty_esters	C7H12O2N0S0P0	128.08373	7	12	2	0	0	0	1.714285714	6	3.5	0	0	0	0.0837	0.0837	653
LMFA01030677	"4,7,10,13,16,19-Docosahexaynoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C22H20O2N0S0P0	316.14633	22	20	2	0	0	0	0.909090909	10	11	0	0	0	0.1463	0.1463	463
LMFA03110105	"11-oxo-5Z,9,12E,14E-prostatetraenoic_acid-cyclo[8R,12]"	Fatty_Acyls	Eicosanoids	C20H28O3N0S0P0	316.203846	20	28	3	0	0	0	1.4	9.333333333	6.666666667	0	0	0	0.2038	0.2038	645
LMFA06000092	11-hexadecenal	Fatty_Acyls	Fatty_aldehydes	C16H30O1N0S0P0	238.229666	16	30	1	0	0	0	1.875	30	16	0	0	0	0.2297	0.2297	964
LMFA05000186	"8Z,10E-Tetradecadien-1-ol"	Fatty_Acyls	Fatty_alcohols	C14H26O1N0S0P0	210.198365	14	26	1	0	0	0	1.857142857	26	14	0	0	0	0.1984	0.1984	944
LMFA03110093	"9S,15S-dihydroxy-11-oxo-5Z,13E-prostadienoic_acid-cyclo[8R,12S]"	Fatty_Acyls	Eicosanoids	C20H32O5N0S0P0	352.224976	20	32	5	0	0	0	1.6	6.4	4	0	0	0	0.225	0.225	639
LMFA11000321	1-Nonacosene	Fatty_Acyls	Hydrocarbons	C29H58O0N0S0P0	406.453851	29	58	0	0	0	0	2	0	0	0	0	0	0.4539	0.4539	1117
LMFA11000237	"13,17,25-Trimethylnonatriacontane"	Fatty_Acyls	Hydrocarbons	C42H86O0N0S0P0	590.672951	42	86	0	0	0	0	2.047619048	0	0	0	0	0	0.673	0.327	554
LMFA03010188	"6-oxo-9S,11R,15S-trihydroxy-13E-prostenoic_acid_2-glyceryl_ester"	Fatty_Acyls	Eicosanoids	C23H40O8N0S0P0	444.272321	23	40	8	0	0	0	1.739130435	5	2.875	0	0	0	0.2723	0.2723	613
LMFA06000097	heptadecanal	Fatty_Acyls	Fatty_aldehydes	C17H34O1N0S0P0	254.260966	17	34	1	0	0	0	2	34	17	0	0	0	0.261	0.261	1027
LMFA03010131	"9-oxo-15S-hydroxy-8(12),13E-prostadienoic_acid"	Fatty_Acyls	Eicosanoids	C20H32O4N0S0P0	336.230061	20	32	4	0	0	0	1.6	8	5	0	0	0	0.2301	0.2301	684
LMFA11000150	"9Z,18Z-Hentriacontadiene"	Fatty_Acyls	Hydrocarbons	C31H60O0N0S0P0	432.469501	31	60	0	0	0	0	1.935483871	0	0	0	0	0	0.4695	0.4695	1086
LMFA03120032	"methyl_5S,6S,12R-triacetoxy-9-oxo-10-chloro-7E,10E,14Z,17Z-prostatetraenoate-cyclo[8,12R]"	Fatty_Acyls	Eicosanoids	C27H35O9N0S0P0	503.228114	27	35	9	0	0	0	1.296296296	3.888888889	3	0	0	0	0.197	0.197	366
LMFA01060050	2-oxo-hexadecanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C16H30O3N0S0P0	270.219496	16	30	3	0	0	0	1.875	10	5.333333333	0	0	0	0.2195	0.2195	812
LMFA01020145	"3,4-dimethyl-pentanoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C7H14O2N0S0P0	130.09938	7	14	2	0	0	0	2	7	3.5	0	0	0	0.0994	0.0994	764
LMFA05000115	2Z-Hexen-1-ol	Fatty_Acyls	Fatty_alcohols	C6H12O1N0S0P0	100.088815	6	12	1	0	0	0	2	12	6	0	0	0	0.0888	0.0888	887
LMFA03010211	"2,3,4,5-tetranor-9-oxo-11R,15S-dihydroxy-13E-prostenoic_acid"	Fatty_Acyls	Eicosanoids	C16H26O5N0S0P0	298.178025	16	26	5	0	0	0	1.625	5.2	3.2	0	0	0	0.178	0.178	597
LMFA01030096	19Z-octacosenoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C28H54O2N0S0P0	422.412381	28	54	2	0	0	0	1.928571429	27	14	0	0	0	0.4124	0.4124	976
LMFA07010314	7Z-Tetradecenyl_acetate	Fatty_Acyls	Fatty_esters	C16H30O2N0S0P0	254.224581	16	30	2	0	0	0	1.875	15	8	0	0	0	0.2246	0.2246	883
LMFA03010049	"9S,15S-dihydroxy-11-oxo-13E-prostaenoic_acid"	Fatty_Acyls	Eicosanoids	C20H34O5N0S0P0	354.240626	20	34	5	0	0	0	1.7	6.8	4	0	0	0	0.2406	0.2406	679
LMFA12000024	3-Methylbutan-2-one	Fatty_Acyls	Oxygenated_hydrocarbons	C5H10O1N0S0P0	86.073165	5	10	1	0	0	0	2	10	5	0	0	0	0.0732	0.0732	850
LMFA07010903	heptyl_octanoate	Fatty_Acyls	Fatty_esters	C15H30O2N0S0P0	242.22458	15	30	2	0	0	0	2	15	7.5	0	0	0	0.2246	0.2246	927
LMFA11000670	"1,18-Nonadecadiene"	Fatty_Acyls	Hydrocarbons	C19H36O0N0S0P0	264.281701	19	36	0	0	0	0	1.894736842	0	0	0	0	0	0.2817	0.2817	1066
LMFA05000169	"8,9-Difluoro-8E,10E-dodecadien-1-ol"	Fatty_Acyls	Fatty_alcohols	C12H20O1N0S0P0	180.151422	12	20	1	0	0	0	1.666666667	20	12	0	0	0	0.1482	0.1482	679
LMFA13010150	methyl_9-(alpha-D-galactopyranosyloxy)nonanoate	Fatty_Acyls	Fatty_acyl_glycosides	C16H30O8N0S0P0	350.194068	16	30	8	0	0	0	1.875	3.75	2	0	0	0	0.1941	0.1941	554
LMFA01060057	10-oxo-hexadecanoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C16H30O3N0S0P0	270.219496	16	30	3	0	0	0	1.875	10	5.333333333	0	0	0	0.2195	0.2195	812
LMFA05000209	"1,3-Hexadecadien-1-ol"	Fatty_Acyls	Fatty_alcohols	C16H30O1N0S0P0	238.229666	16	30	1	0	0	0	1.875	30	16	0	0	0	0.2297	0.2297	964
LMFA03030013	"2,3-dinor-9S,15S-dihydroxy-11-oxo-thromboxa-5Z,13E-dien-1-oic_acid"	Fatty_Acyls	Eicosanoids	C18H28O6N0S0P0	340.188591	18	28	6	0	0	0	1.555555556	4.666666667	3	0	0	0	0.1886	0.1886	554
LMFA01030326	"6,11-octadecadienoic_acid"	Fatty_Acyls	Fatty_Acids_and_Conjugates	C18H32O2N0S0P0	280.240231	18	32	2	0	0	0	1.777777778	16	9	0	0	0	0.2402	0.2402	857
LMFA01030248	5Z-tetradecenoic_acid	Fatty_Acyls	Fatty_Acids_and_Conjugates	C14H26O2N0S0P0	226.19328	14	26	2	0	0	0	1.857142857	13	7	0	0	0	0.1933	0.1933	855
LMFA06000040	nonanal	Fatty_Acyls	Fatty_aldehydes	C9H18O1N0S0P0	142.135765	9	18	1	0	0	0	2	18	9	0	0	0	0.1358	0.1358	955
LMFA07050177	"3pr-phosphoadenosine_5pr-(3-{(3R)-3-hydroxy-4-[(3-{[2-(2-hydroxy-3-methylhexadecanoylsulfanyl)ethyl]amino}-3-oxopropyl)amino]-2,2-dimethyl-4-oxobutyl}_dihydrogen_diphosphate)"	Fatty_Acyls	Fatty_esters	C38H68O18N7S1P3	1035.355439	38	68	18	7	3	1	1.789473684	3.777777778	2.111111111	5.428571429	38	12.66666667	0.3554	0.3554	343
LMFA11000701	3-Ethylheptane	Fatty_Acyls	Hydrocarbons	C9H20O0N0S0P0	128.1565	9	20	0	0	0	0	2.222222222	0	0	0	0	0	0.1565	0.1565	1221
LMFA06000230	13E-Octadecenal	Fatty_Acyls	Fatty_aldehydes	C18H34O1N0S0P0	266.260966	18	34	1	0	0	0	1.888888889	34	18	0	0	0	0.261	0.261	980
